discipline,n_sentences,pct_disc,pct_cond,pct_enc,dominant_stance
Social Services,4,0.0,0.0,100.0,encouraging
High School,3,0.0,0.0,100.0,encouraging
Social Sciences,1,0.0,0.0,100.0,encouraging
Information Science,2,0.0,0.0,100.0,encouraging
Math,1,0.0,0.0,100.0,encouraging
Honors Course,4,0.0,0.0,100.0,encouraging
Electrical Engineering,22,4.545454545454546,4.545454545454546,90.9090909090909,encouraging
Entrepreneurship,31,19.35483870967742,0.0,80.64516129032258,encouraging
Intro to Human Communication,31,16.129032258064516,9.67741935483871,74.19354838709677,encouraging
Computer Information Systems,23,4.3478260869565215,21.73913043478261,73.91304347826086,encouraging
Writing Center,25,16.0,12.0,72.0,encouraging
Politics,14,21.428571428571427,7.142857142857142,71.42857142857143,encouraging
English,7,28.57142857142857,0.0,71.42857142857143,encouraging
Criminal Justice,17,17.647058823529413,11.76470588235294,70.58823529411765,encouraging
Education,93,19.35483870967742,12.903225806451612,67.74193548387096,encouraging
Information Technology,6,33.33333333333333,0.0,66.66666666666666,encouraging
Design,3,33.33333333333333,0.0,66.66666666666666,encouraging
"Writing, Literature",12,25.0,8.333333333333332,66.66666666666666,encouraging
Research,51,11.76470588235294,21.568627450980394,66.66666666666666,encouraging
Music,9,22.22222222222222,11.11111111111111,66.66666666666666,encouraging
Economics,17,5.88235294117647,29.411764705882355,64.70588235294117,encouraging
Engineering,57,22.807017543859647,14.035087719298245,63.1578947368421,encouraging
Nursing,8,25.0,12.5,62.5,encouraging
Computer Science,50,30.0,8.0,62.0,encouraging
History,92,25.0,13.043478260869565,61.95652173913043,encouraging
Literature,68,25.0,13.23529411764706,61.76470588235294,encouraging
Composition,41,26.82926829268293,12.195121951219512,60.97560975609756,encouraging
Research Methods,74,25.675675675675674,13.513513513513514,60.810810810810814,encouraging
Anthropology,5,0.0,40.0,60.0,encouraging
Life Sciences,20,25.0,15.0,60.0,encouraging
Sociology,22,27.27272727272727,13.636363636363635,59.09090909090909,encouraging
Social Work (Masters level),39,15.384615384615385,25.64102564102564,58.97435897435898,encouraging
Communications,58,32.758620689655174,8.620689655172415,58.620689655172406,encouraging
Business,85,20.0,23.52941176470588,56.470588235294116,encouraging
Finance,39,30.76923076923077,12.82051282051282,56.41025641025641,encouraging
Writing,367,34.05994550408719,11.1716621253406,54.76839237057221,encouraging
Law,44,31.818181818181817,13.636363636363635,54.54545454545454,encouraging
Government,11,27.27272727272727,18.181818181818183,54.54545454545454,encouraging
Physical Sciences,11,36.36363636363637,9.090909090909092,54.54545454545454,encouraging
Marketing,57,28.07017543859649,17.543859649122805,54.385964912280706,encouraging
First Year Seminar,78,25.64102564102564,20.51282051282051,53.84615384615385,encouraging
Interdisciplinary,36,27.77777777777778,19.444444444444446,52.77777777777778,encouraging
Enviromental Science,25,16.0,32.0,52.0,encouraging
Journalism - Multimedia,32,21.875,28.125,50.0,encouraging
Public Policy,4,0.0,50.0,50.0,conditional
Instructional Design,14,21.428571428571427,28.57142857142857,50.0,encouraging
Computer Sciences,20,40.0,10.0,50.0,encouraging
Human Services,2,50.0,0.0,50.0,discouraging
Mathematics,4,50.0,0.0,50.0,discouraging
Film Studies,4,50.0,0.0,50.0,discouraging
Healthcare,6,16.666666666666664,33.33333333333333,50.0,encouraging
Psychology,59,42.3728813559322,8.47457627118644,49.152542372881356,encouraging
Misc,53,26.41509433962264,24.528301886792452,49.056603773584904,encouraging
Geography,19,36.84210526315789,15.789473684210526,47.368421052631575,encouraging
Biology,32,28.125,25.0,46.875,encouraging
Health,13,46.15384615384615,7.6923076923076925,46.15384615384615,discouraging
Arts,11,45.45454545454545,9.090909090909092,45.45454545454545,discouraging
Agriculture,16,31.25,25.0,43.75,encouraging
Religious Studies,14,42.857142857142854,14.285714285714285,42.857142857142854,discouraging
Cultural Studies,7,28.57142857142857,28.57142857142857,42.857142857142854,encouraging
Social Sciences/Humanities,5,40.0,20.0,40.0,discouraging
Management,29,27.586206896551722,34.48275862068966,37.93103448275862,encouraging
Occupational Therapy,6,0.0,66.66666666666666,33.33333333333333,conditional
Gender Studies,3,66.66666666666666,0.0,33.33333333333333,discouraging
Spanish,3,66.66666666666666,0.0,33.33333333333333,discouraging
Media Studies,3,0.0,66.66666666666666,33.33333333333333,conditional
Cybersecurity,7,28.57142857142857,42.857142857142854,28.57142857142857,conditional
Communication,9,55.55555555555556,22.22222222222222,22.22222222222222,discouraging
Languages,10,80.0,0.0,20.0,discouraging
Philosophy,13,46.15384615384615,38.46153846153847,15.384615384615385,discouraging
Information Studies,4,100.0,0.0,0.0,discouraging
Technology,4,100.0,0.0,0.0,discouraging
Library and Information Science,4,50.0,50.0,0.0,discouraging
Theatre,2,50.0,50.0,0.0,discouraging
"Writing, Business",1,100.0,0.0,0.0,discouraging
